geo_level,est,county_fips,group_number,stpl_fips,date_export,metric_number,stcotr_fips,group_name,state_fips,denom,num,state_abbr,county_name,city_name,data_yr_type,lci,tract_code,uci,metric_name
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037013201,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013201,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037013202,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013202,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037013202,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013202,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013300,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013300,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013300,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013300,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013400,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013400,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013400,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013400,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013500,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013500,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013500,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013500,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013601,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013601,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013601,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013601,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013602,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013602,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013602,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013602,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013700,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013700,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013700,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013700,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013800,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013800,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013800,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013800,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037013900,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013900,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037013900,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013900,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037014200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,014200,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037014200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,014200,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037014300,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,014300,-999.0,Air pollution - particulate matter
